user,text,time,compound analysis,positive analysis,negative analysis,neutral analysis
@CNN,"Every year, officials on Christmas Island close roads for millions of red crabs migrating across the island… https://t.co/GBOMsyaolR",Sun Dec 24 04:01:53 +0000 2017,0.0,0.0,0.0,1.0
@CNN,"Nearly 7 in 10 Americans say sexual harassment is a very serious problem, according to a new CNN Poll, a 34-point s… https://t.co/OHtvSqLB7n",Sun Dec 24 03:30:04 +0000 2017,-0.7947,0.0,0.335,0.665
@CNN,"Almost 6 in 10 Americans have a favorable opinion about Joe Biden in a new CNN national poll, a finding sure to giv… https://t.co/pml2FdVplm",Sun Dec 24 03:00:12 +0000 2017,0.6597,0.231,0.0,0.769
@CNN,At least 37 people are missing and feared dead after a fire broke out at a shopping mall in the southern Philippine… https://t.co/5PfGUpGR32,Sun Dec 24 02:37:03 +0000 2017,-0.9313,0.0,0.482,0.518
@CNN,President Trump's holiday visit to Mar-a-Lago marks the 106th day he has visited one of his properties as President… https://t.co/wZ9SmPIf7R,Sun Dec 24 02:30:15 +0000 2017,0.4019,0.124,0.0,0.876
@CNN,Meet the culinary master known as ‘papa’ | via @CNNTravel https://t.co/V1KFRylc3S https://t.co/1g6gcgHBTw,Sun Dec 24 02:02:58 +0000 2017,0.0,0.0,0.0,1.0
@CNN,"Hundreds of EPA employees have left the agency over the course of President Trump's first year in office, according… https://t.co/trj3fCwtzx",Sun Dec 24 01:30:08 +0000 2017,0.0,0.0,0.0,1.0
@CNN,Ohio Gov. John Kasich has signed a bill that prohibits women from having abortions if tests reveal that a fetus has… https://t.co/UaZuveGR1k,Sun Dec 24 01:00:14 +0000 2017,0.0,0.0,0.0,1.0
@CNN,Pardon the interruption: This Virgin Australia employee surprised passengers with an amazing rendition of a Christm… https://t.co/F5bal3v7B2,Sun Dec 24 00:31:05 +0000 2017,0.6705,0.356,0.111,0.533
@CNN,A video capturing an unidentified object flying off the coast of San Diego in 2004 has been released by the US Depa… https://t.co/U5HQucNjg9,Sun Dec 24 00:16:23 +0000 2017,0.0,0.0,0.0,1.0
@CNN,"About 85% of young children in the United States believe in Santa Claus, and that percentage has not changed since… https://t.co/D5ER57xnx4",Sun Dec 24 00:00:17 +0000 2017,0.4215,0.123,0.0,0.877
@CNN,"The US government has lifted a ban on making lethal viruses, saying the research is necessary to develop strategies… https://t.co/gZcBIGjnT3",Sat Dec 23 23:45:04 +0000 2017,-0.5574,0.0,0.167,0.833
@CNN,"""My personal belief is that there is very compelling evidence that we may not be alone,"" says former military intel… https://t.co/VyAPdvtb8V",Sat Dec 23 23:31:30 +0000 2017,0.2944,0.099,0.0,0.901
@CNN,This may be the best food friendship in New York City | via @CNNTravel https://t.co/XMsmOANaZr https://t.co/Mrbfcyfpxw,Sat Dec 23 23:15:22 +0000 2017,0.7964,0.353,0.0,0.647
@CNN,The US Coast Guard rescued a sea turtle entangled in bundles of cocaine off the coast of Florida https://t.co/BIx43Sk9HB,Sat Dec 23 23:02:07 +0000 2017,0.4215,0.141,0.0,0.859
@CNN,Vice Media apologizes in response to bombshell story on the company's history of sexual harassment and misogyny… https://t.co/Ro0z8pugmD,Sat Dec 23 22:45:11 +0000 2017,-0.25,0.114,0.159,0.727
