user,text,compound analysis,positive analysis,negative analysis,neutral analysis
@CNN,"A top White House economist predicts Sen. Marco Rubio will ultimately be a ""yes"" on the GOP tax bill despite his th… https://t.co/JbHcmcZd6S",0.2023,0.083,0,0.917
@CNN,"RT @OutFrontCNN: ""He's trying one last time, I respect that. But...I don't think anyone thinks that Rubio is going to hold up this bill."" -…",0.4767,0.119,0,0.881
@CNN,Republican Sen. Marco Rubio says he will not support the latest version of the GOP tax bill if the legislation does… https://t.co/bwHgKGKZVw,-0.3089,0,0.097,0.903
@CNN,President Trump speaks at the White House as the GOP's tax bill nears final vote. Watch CNN: https://t.co/UYpqI3w42L https://t.co/OcwOF0aPUu,0,0,0,1
@CNN,'The Simpsons' predicted Disney would buy Fox in an episode that aired way back in 1998 https://t.co/VbVDHI0tQq https://t.co/nlZkBfnhbd,0,0,0,1
@CNN,"The majority of weapons used by ISIS since 2014 originated in China, Russia and Eastern Europe, according to a new… https://t.co/mBNhlc9Eb2",-0.4404,0,0.132,0.868
@CNN,"The world really, really loves British television https://t.co/hsS046ToMV https://t.co/UWQztQ2GlT",0.6453,0.348,0,0.652
@CNN,Climate change is partly to blame for the record rainfall that fell over Texas and Louisiana in the days after Hurr… https://t.co/Ky9H8s9olQ,-0.2782,0,0.092,0.908
@CNN,How US and Asian democracies can counter China | @marcorubio writes for @CNNOpinion  https://t.co/VJuOSVUAoY https://t.co/4D4ZDAcdap,0,0,0,1
@CNN,"RT @CNNSitRoom: Joe Manchin on Robert Mueller: “I would hope to think he’s safe, if not, then pardon the expression, all hell would break l…",-0.193,0.174,0.197,0.629
@CNN,"Former House Speaker Dennis Hastert can't be alone with children, a judge has ruled in a hush money case related to… https://t.co/AO7uzQ7GM1",0.1877,0.084,0,0.916
@CNN,President Trump is speaking from the White House. Watch CNN: https://t.co/UYpqI3w42L https://t.co/GUzMovQfRW,0,0,0,1
@CNN,"Charles Barkley on Doug Jones' victory in Alabama: This is ""a wake-up call for Democrats... ""It's time for them to… https://t.co/d22PRHyX4q",0,0,0,1
@CNN,"Who is Doug Jones, the Democrat who just won in Alabama? https://t.co/wIPRVoDNbA https://t.co/QWpoes9dcs",0.5719,0.236,0,0.764
@CNN,"Chris Froome, the world's most dominant cyclist in recent years, failed a drug test in one of cycling's most presti… https://t.co/J5W1s555IO",-0.5106,0,0.148,0.852
@CNN,"In a shocking upset Tuesday night, Democrat Doug Jones was projected to become the US senator-elect for the state o… https://t.co/I45kk6iyvm",-0.6486,0,0.227,0.773
@CNN,Former NBA player and Alabama native Charles Barkley says Doug Jones’ victory is a referendum on the state: “We rea… https://t.co/b98ksNxSlF,0,0,0,1
@CNN,59% of the votes are counted in the Alabama Senate race. Follow along for updated results https://t.co/SpT3AX3wQ9 https://t.co/8NfxKCw81V,0,0,0,1
@CNN,"Polls are now closed in Alabama, where voters are electing a new US senator. Follow along for live updates… https://t.co/nR0Jxp2pds",0,0,0,1
@CNN,5 things to watch in Alabama's special election https://t.co/5zFqnkOo8Z https://t.co/Nd88Ll0vaT,0.4019,0.252,0,0.748
@CNN,The number two House Democrat called for an ethics investigation into a Nevada Democrat accused of sexual harassmen… https://t.co/gJJ1FiYEKr,-0.2263,0.067,0.113,0.821
@CNN,"The NFL Network and ESPN have suspended five former football players, including Hall of Famer Marshall Faulk, due t… https://t.co/kvEQwxhEml",-0.4767,0,0.14,0.86
@CNN,Jimmy Kimmel brings out his young son Billy to talk about health care https://t.co/lfk7OtIYZA https://t.co/vnO4O36iBu,0.4939,0.186,0,0.814
@CNN,"He may no longer be in office, but former President Obama is still encouraging people to sign up for Obamacare as a… https://t.co/x5AOz9VP6j",0.6124,0.169,0.059,0.772
@CNN,"Amnesty International says that European governments are complicit in torture, due to their support of efforts to c… https://t.co/mbAw0TGFak",-0.296,0.114,0.165,0.72
@CNN,Former NBA-player Charles Barkley: I feel 'nervous' about Alabama special election https://t.co/YDeFWawB4A https://t.co/2LSnpiyYnp,0.4019,0.197,0,0.803
@CNN,"A plane helps fight the Thomas Fire in Toro Canyon, California. Among the CalFire air fleet are helicopters and air… https://t.co/H6ne2CJhwC",-0.34,0.106,0.203,0.691
@CNN,"""This is serious sexual harassment and misconduct, and he should be held just as accountable as a member of the Sen… https://t.co/R66FklItOU",-0.5859,0,0.202,0.798
@CNN,"Nearly one child dies every month and about about two are injured every day in window blind-related incidents, acco… https://t.co/02icfpVMWL",-0.4019,0,0.124,0.876
@CNN,The world's greenest cruise ship will have sails https://t.co/7DctUsBbVP https://t.co/eM1p8YL9UY,0,0,0,1
@CNN,"RT @CNNPolitics: Sanders on the Middle East: “We are continuing to urge calm, and we’re open and willing and want to continue meeting and d…",0.3818,0.135,0,0.865
@CNN,"Wild parrots were shipped to New York in the 1960s destined for pet stores, but many of them escaped and still live… https://t.co/rfzGXjoL5N",0,0,0,1
@CNN,"NYPD: The suspect is a 27-year-old male who strapped an ""improvised low-tech explosive device"" to his body. He suff… https://t.co/VfjILjiYQ0",-0.296,0,0.109,0.891
@CNN,"5 things for Monday:

- Nobel Peace Prize
- Alabama Senate race
- California wildfires
- Jerusalem
- Iraq and ISIS… https://t.co/PyO0f3BeHu",0.7783,0.327,0,0.673
@CNN,Rep. Adam Schiff on Russian outreach to Hope Hicks: “It’s not at all a surprise that they would make outreach to pe… https://t.co/md0u6S3XIc,0.647,0.264,0.067,0.669
@CNN,"Vice President Mike Pence and Palestinian Authority President Mahmoud Abbas won't meet, vice president's office con… https://t.co/cLSgK4pnev",0.0772,0.075,0,0.925
@CNN,3-D printing braces up sea turtle with gap in its shell https://t.co/mhGanIyPvv https://t.co/sfqprWjpiv,0,0,0,1
@CNN,"""We should all be willing to listen to"" women who speak up about inappropriate sexual behavior, including President… https://t.co/BtPynSIb5U",0,0,0,1
@CNN,"Here's your ski resort guide to St. Moritz, Switzerland https://t.co/9NcNA31QQ1 https://t.co/57kMyQRIOa",0,0,0,1
@CNN,"An Iranian-Turkish gold trader admitted in a US court that he made ""maybe $150 million"" by helping Iran dodge inter… https://t.co/yg1Kck4Zxt",0.3818,0.167,0,0.833
@CNN,"The critically acclaimed drama ""Big Little Lies"" is officially coming back for another season… https://t.co/WmE6oKMtVQ",-0.3626,0,0.152,0.848
@CNN,"From movie star to entrepreneur – Jessica Alba tells @PoppyHarlowCNN that she ""was always very uncomfortable with t… https://t.co/JPAuZnk1uB",-0.4391,0,0.145,0.855
@CNN,President Trump's 41 most eye-popping lines from his speech at a Roy Moore rally in Florida https://t.co/PDADngkh62… https://t.co/WLN8QKy08I,0,0,0,1
@CNN,The most popular GIF of 2017 actually perfectly sums up 2017 https://t.co/ngtOKjn7VU https://t.co/2gygUJbqer,0.807,0.399,0,0.601
@CNN,"A new survey shows that 42% of parents would consider sending their kids abroad for college, up from 35% in 2016… https://t.co/p8NAF2slMw",0,0,0,1
@CNN,A Democratic senator is calling for the investigation into Interior Secretary Ryan Zinke's travel to include his us… https://t.co/G2T9SapoTh,0,0,0,1
@CNN,"Speaking at a Florida rally, President Trump promises ""borders on top of borders"" https://t.co/CyduaIUuSV https://t.co/BQrIqMDQRg",0.5267,0.268,0,0.732
@CNN,The doors are jammed. A baton bounces off the windows. The fire extinguisher empties -- with no effect. But these o… https://t.co/BZQPHb7Ats,-0.6486,0,0.259,0.741
@CNN,Republican Sen. Susan Collins says she's considering changing her tax plan vote if her proposed amendments don't ma… https://t.co/ug6cOKBbI4,0,0,0,1
@CNN,"""He didn’t take any initiative on his own without campaign approval"" and was ""everything but a coffee boy,"" George… https://t.co/vm1B7BwEw4",-0.1967,0,0.09,0.91
@CNN,"Flu season is gaining speed in the United States, especially in the South, after getting off to a slow start… https://t.co/XOdVq6ORpQ",0.4588,0.222,0.103,0.675
@CNN,7 images that show why the Southern California wildfires are so dangerous https://t.co/8MXCJXoSke https://t.co/WdOuajrbIc,-0.6113,0,0.25,0.75
@CNN,"To combat drug use, this gas station is installing blue lighting that makes it difficult for addicts to see their v… https://t.co/dBtNtlwQrb",-0.5994,0,0.197,0.803
@CNN,"Disillusioned and disappointed Palestinians took to the streets in the West Bank, Gaza and Jerusalem following US P… https://t.co/OZVp9B61zL",-0.7184,0,0.261,0.739
@CNN,"Corey Lewandowski: Yes, I steamed Trump's pants while he was still wearing them https://t.co/f8PeiVKmmn https://t.co/eoMn7dZgFj",0.4019,0.172,0,0.828
@CNN,GOP Rep. Mia Love of Utah said Rep. Blake Farenthold of Texas should resign in light of allegations he sexually har… https://t.co/6BPVpq3hYu,0.1531,0.151,0.165,0.683
@CNN,Rep. Joaquin Castro on the Russia investigation: “I think that there are going to be some things that come out that… https://t.co/M134a2Gi9x,0,0,0,1
@CNN,Does your workout take you by traffic-laden roads? Walking along polluted streets may reduce health benefits for ol… https://t.co/97KsKuzWrs,-0.1027,0.115,0.133,0.752
@CNN,A gay man who was twice denied a marriage license by Kim Davis is now running against her for a county clerk positi… https://t.co/AWXCQoCn9d,-0.4404,0,0.127,0.873
@CNN,"RT @CNNnewsroom: Democratic Rep. Cheri Bustos says she wants to hear ""accountability"" in Al Franken's upcoming speech, says Congress ""shoul…",0,0,0,1
@CNN,The Trump administration and State Department continue to grapple with vacancies across its senior ranks. Dozens of… https://t.co/Q6Fk80LxUZ,0,0,0,1
@CNN,This California utility has lost more than $3.3 billion in market value since fires began Monday night… https://t.co/NRyVu5GVpK,0.0258,0.116,0.111,0.773
@CNN,YouTube's top viral video in 2017 was a singing man in an oyster costume. And who could forget the time this profes… https://t.co/WIX61PrnJh,-0.0258,0.076,0.08,0.844
@CNN,The Trump administration is proposing a rule change that could force some workers to share their tips… https://t.co/0VTGlCOTM2,0.296,0.121,0,0.879
@CNN,Watch puppies learn how to be avalanche rescue dogs. These canines can cut rescue times down from hours to minutes… https://t.co/raG5mIqQRE,0.6705,0.247,0.079,0.674
@CNN,This California utility has lost more than $3.3 billion in market value since fires began Monday night… https://t.co/CCTRSDhbmp,0.0258,0.116,0.111,0.773
@CNN,"Chipotle is literally giving away queso. The catch? It's on December 12, and you'll have to wear a ""cheesy"" sweater… https://t.co/2A29xSiXWK",0.34,0.112,0,0.888
@CNN,"Donald Trump Jr. says he communicated with White House aide Hope Hicks, not President Trump, on responding to repor… https://t.co/JMCvrPWIrO",0.4404,0.132,0,0.868
@CNN,"For Palestinians, President Trump's Jerusalem move is the end of the peace process | Analysis by @TimListerCNN… https://t.co/RllfNXROlU",0.5423,0.179,0,0.821
@CNN,This is why declaring Jerusalem as the capital of Israel is so controversial https://t.co/cXUzJx9pQA https://t.co/NBMAL4QtjO,-0.3327,0,0.145,0.855
@CNN,Hyperloop One co-founder takes leave to pursue a defamation lawsuit https://t.co/wyJ8plZko9 https://t.co/VyPtZsnaAp,-0.2732,0,0.256,0.744
@CNN,"A homeless man saved two children from their burning home after hearing cries for help, officials say… https://t.co/HjRXANVnTT",0.4215,0.248,0.122,0.631
@CNN,"As fast-moving wildfires consumed houses in California, four friends grabbed garden hoses and got to work… https://t.co/9gCrRmqydv",0.4767,0.162,0,0.838
@CNN,The House will vote Wednesday on a bill that would let gun owners with concealed-carry permits travel to other stat… https://t.co/3PPstBRrZB,-0.34,0,0.112,0.888
@CNN,"RT @AC360: .@maggieNYT: President Trump is ""keeping up a veneer of calm"" in the face of an intensifying Mueller probe https://t.co/1FeLfX3j…",0.3182,0.108,0,0.892
@CNN,RT @CNNSitRoom: CIA Director Mike Pompeo insists President Donald Trump's prolific Twitter feed yields valuable intelligence. https://t.co/…,0.7351,0.292,0,0.708
@CNN,"RT @CNNPolitics: Asked if the White House believes there is bias in the special counsel’s office, Sanders says some reports “certainly caus…",0.3182,0.112,0.058,0.83
@CNN,Why declaring Jerusalem as the capital of Israel is so controversial https://t.co/jFDGaHpdMC https://t.co/Jk12Vxo37f,-0.3327,0,0.165,0.835
@CNN,JUST IN: Rep. John Conyers announced he will retire effective today following sexual harassment allegations against… https://t.co/xi5Xbjbecd,-0.1027,0.144,0.162,0.694
@CNN,Pizza Hut is testing beer and wine delivery https://t.co/tCs4EZE2Dh https://t.co/Wc3z3fKBPe,0,0,0,1
@CNN,"Starbucks is going venti in China with its new 30,000-square-foot store in Shanghai https://t.co/7OWo7qOcPl https://t.co/2XedlPOMyn",0,0,0,1
@CNN,"Worried China's foul restrooms have a bad reputation with tourists, President Xi Jinping has promised a ""toilet rev… https://t.co/Y9ucTpZ2vw",-0.4939,0.113,0.257,0.631
@CNN,"These pizzas are literally out of this world
https://t.co/i7kEV48XFi https://t.co/fB5eVteZbD",0,0,0,1
